"HF:Financing scheme","HC:Function","HP:Provider","MEASURE:Measure","LOCATION:Country","TIME:Year","Unit Code:Unit","PowerCode Code:PowerCode","Reference Period Code:Reference Period","MSR:Value","Flag Codes:Flags"
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP1:Hospitals","PPPPER:Per capita, current prices, current PPPs","BEL:Belgium","2019","USD:US Dollar","0:Units",,2089.307,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP2:Residential long-term care facilities","PPPPER:Per capita, current prices, current PPPs","AUT:Austria","2010","USD:US Dollar","0:Units",,348.104,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP2:Residential long-term care facilities","PPPPER:Per capita, current prices, current PPPs","AUT:Austria","2011","USD:US Dollar","0:Units",,356.437,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP2:Residential long-term care facilities","PPPPER:Per capita, current prices, current PPPs","AUT:Austria","2012","USD:US Dollar","0:Units",,382.598,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP2:Residential long-term care facilities","PPPPER:Per capita, current prices, current PPPs","AUT:Austria","2013","USD:US Dollar","0:Units",,414.723,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP2:Residential long-term care facilities","PPPPER:Per capita, current prices, current PPPs","AUT:Austria","2014","USD:US Dollar","0:Units",,418.06,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP2:Residential long-term care facilities","PPPPER:Per capita, current prices, current PPPs","AUT:Austria","2015","USD:US Dollar","0:Units",,429.709,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP2:Residential long-term care facilities","PPPPER:Per capita, current prices, current PPPs","AUT:Austria","2016","USD:US Dollar","0:Units",,443.332,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP2:Residential long-term care facilities","PPPPER:Per capita, current prices, current PPPs","AUT:Austria","2017","USD:US Dollar","0:Units",,453.84,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP2:Residential long-term care facilities","PPPPER:Per capita, current prices, current PPPs","AUT:Austria","2018","USD:US Dollar","0:Units",,477.427,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP2:Residential long-term care facilities","PPPPER:Per capita, current prices, current PPPs","AUT:Austria","2019","USD:US Dollar","0:Units",,486.031,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP2:Residential long-term care facilities","PPPPER:Per capita, current prices, current PPPs","BEL:Belgium","2010","USD:US Dollar","0:Units",,472.165,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP2:Residential long-term care facilities","PPPPER:Per capita, current prices, current PPPs","BEL:Belgium","2011","USD:US Dollar","0:Units",,482.612,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP2:Residential long-term care facilities","PPPPER:Per capita, current prices, current PPPs","BEL:Belgium","2012","USD:US Dollar","0:Units",,511.267,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP2:Residential long-term care facilities","PPPPER:Per capita, current prices, current PPPs","BEL:Belgium","2013","USD:US Dollar","0:Units",,537.039,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP2:Residential long-term care facilities","PPPPER:Per capita, current prices, current PPPs","BEL:Belgium","2014","USD:US Dollar","0:Units",,564.13,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP2:Residential long-term care facilities","PPPPER:Per capita, current prices, current PPPs","BEL:Belgium","2015","USD:US Dollar","0:Units",,520.866,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP2:Residential long-term care facilities","PPPPER:Per capita, current prices, current PPPs","BEL:Belgium","2016","USD:US Dollar","0:Units",,562.424,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP2:Residential long-term care facilities","PPPPER:Per capita, current prices, current PPPs","BEL:Belgium","2017","USD:US Dollar","0:Units",,576.6,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP2:Residential long-term care facilities","PPPPER:Per capita, current prices, current PPPs","BEL:Belgium","2018","USD:US Dollar","0:Units",,608.21,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP2:Residential long-term care facilities","PPPPER:Per capita, current prices, current PPPs","BEL:Belgium","2019","USD:US Dollar","0:Units",,629.029,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP3:Providers of ambulatory health care","PPPPER:Per capita, current prices, current PPPs","AUT:Austria","2010","USD:US Dollar","0:Units",,959.779,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP3:Providers of ambulatory health care","PPPPER:Per capita, current prices, current PPPs","AUT:Austria","2011","USD:US Dollar","0:Units",,981.776,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP3:Providers of ambulatory health care","PPPPER:Per capita, current prices, current PPPs","AUT:Austria","2012","USD:US Dollar","0:Units",,1017.69,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP3:Providers of ambulatory health care","PPPPER:Per capita, current prices, current PPPs","AUT:Austria","2013","USD:US Dollar","0:Units",,1079.4,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP3:Providers of ambulatory health care","PPPPER:Per capita, current prices, current PPPs","AUT:Austria","2014","USD:US Dollar","0:Units",,1100.558,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP3:Providers of ambulatory health care","PPPPER:Per capita, current prices, current PPPs","AUT:Austria","2015","USD:US Dollar","0:Units",,1120.823,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP3:Providers of ambulatory health care","PPPPER:Per capita, current prices, current PPPs","AUT:Austria","2016","USD:US Dollar","0:Units",,1187.683,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP3:Providers of ambulatory health care","PPPPER:Per capita, current prices, current PPPs","AUT:Austria","2017","USD:US Dollar","0:Units",,1217.263,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP3:Providers of ambulatory health care","PPPPER:Per capita, current prices, current PPPs","AUT:Austria","2018","USD:US Dollar","0:Units",,1273.396,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP3:Providers of ambulatory health care","PPPPER:Per capita, current prices, current PPPs","AUT:Austria","2019","USD:US Dollar","0:Units",,1313.364,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP3:Providers of ambulatory health care","PPPPER:Per capita, current prices, current PPPs","BEL:Belgium","2010","USD:US Dollar","0:Units",,1200.077,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP3:Providers of ambulatory health care","PPPPER:Per capita, current prices, current PPPs","BEL:Belgium","2011","USD:US Dollar","0:Units",,1237.432,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP3:Providers of ambulatory health care","PPPPER:Per capita, current prices, current PPPs","BEL:Belgium","2012","USD:US Dollar","0:Units",,1304.501,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP3:Providers of ambulatory health care","PPPPER:Per capita, current prices, current PPPs","BEL:Belgium","2013","USD:US Dollar","0:Units",,1360.748,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP3:Providers of ambulatory health care","PPPPER:Per capita, current prices, current PPPs","BEL:Belgium","2014","USD:US Dollar","0:Units",,1437.665,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP3:Providers of ambulatory health care","PPPPER:Per capita, current prices, current PPPs","BEL:Belgium","2015","USD:US Dollar","0:Units",,1445.906,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP3:Providers of ambulatory health care","PPPPER:Per capita, current prices, current PPPs","BEL:Belgium","2016","USD:US Dollar","0:Units",,1704.036,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP3:Providers of ambulatory health care","PPPPER:Per capita, current prices, current PPPs","BEL:Belgium","2017","USD:US Dollar","0:Units",,1759.846,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP3:Providers of ambulatory health care","PPPPER:Per capita, current prices, current PPPs","BEL:Belgium","2018","USD:US Dollar","0:Units",,1839.167,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP3:Providers of ambulatory health care","PPPPER:Per capita, current prices, current PPPs","BEL:Belgium","2019","USD:US Dollar","0:Units",,1763.023,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP4:Providers of ancillary services","PPPPER:Per capita, current prices, current PPPs","AUT:Austria","2010","USD:US Dollar","0:Units",,135.758,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP4:Providers of ancillary services","PPPPER:Per capita, current prices, current PPPs","AUT:Austria","2011","USD:US Dollar","0:Units",,134.481,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP4:Providers of ancillary services","PPPPER:Per capita, current prices, current PPPs","AUT:Austria","2012","USD:US Dollar","0:Units",,142.785,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP4:Providers of ancillary services","PPPPER:Per capita, current prices, current PPPs","AUT:Austria","2013","USD:US Dollar","0:Units",,147.776,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP4:Providers of ancillary services","PPPPER:Per capita, current prices, current PPPs","AUT:Austria","2014","USD:US Dollar","0:Units",,146.459,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP4:Providers of ancillary services","PPPPER:Per capita, current prices, current PPPs","AUT:Austria","2015","USD:US Dollar","0:Units",,148.198,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP4:Providers of ancillary services","PPPPER:Per capita, current prices, current PPPs","AUT:Austria","2016","USD:US Dollar","0:Units",,154.915,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP4:Providers of ancillary services","PPPPER:Per capita, current prices, current PPPs","AUT:Austria","2017","USD:US Dollar","0:Units",,156.37,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP4:Providers of ancillary services","PPPPER:Per capita, current prices, current PPPs","AUT:Austria","2018","USD:US Dollar","0:Units",,164.906,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP4:Providers of ancillary services","PPPPER:Per capita, current prices, current PPPs","AUT:Austria","2019","USD:US Dollar","0:Units",,170.121,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP4:Providers of ancillary services","PPPPER:Per capita, current prices, current PPPs","BEL:Belgium","2010","USD:US Dollar","0:Units",,96.295,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP4:Providers of ancillary services","PPPPER:Per capita, current prices, current PPPs","BEL:Belgium","2011","USD:US Dollar","0:Units",,93.173,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP4:Providers of ancillary services","PPPPER:Per capita, current prices, current PPPs","BEL:Belgium","2012","USD:US Dollar","0:Units",,110.717,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP4:Providers of ancillary services","PPPPER:Per capita, current prices, current PPPs","BEL:Belgium","2013","USD:US Dollar","0:Units",,105.928,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP4:Providers of ancillary services","PPPPER:Per capita, current prices, current PPPs","BEL:Belgium","2014","USD:US Dollar","0:Units",,105.758,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP4:Providers of ancillary services","PPPPER:Per capita, current prices, current PPPs","BEL:Belgium","2015","USD:US Dollar","0:Units",,109.087,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP4:Providers of ancillary services","PPPPER:Per capita, current prices, current PPPs","BEL:Belgium","2016","USD:US Dollar","0:Units",,113.481,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP4:Providers of ancillary services","PPPPER:Per capita, current prices, current PPPs","BEL:Belgium","2017","USD:US Dollar","0:Units",,111.343,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP4:Providers of ancillary services","PPPPER:Per capita, current prices, current PPPs","BEL:Belgium","2018","USD:US Dollar","0:Units",,112.001,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP4:Providers of ancillary services","PPPPER:Per capita, current prices, current PPPs","BEL:Belgium","2019","USD:US Dollar","0:Units",,115.943,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP5:Retailers and other providers of medical goods","PPPPER:Per capita, current prices, current PPPs","AUT:Austria","2010","USD:US Dollar","0:Units",,655.258,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP5:Retailers and other providers of medical goods","PPPPER:Per capita, current prices, current PPPs","AUT:Austria","2011","USD:US Dollar","0:Units",,677.366,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP5:Retailers and other providers of medical goods","PPPPER:Per capita, current prices, current PPPs","AUT:Austria","2012","USD:US Dollar","0:Units",,706.877,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP5:Retailers and other providers of medical goods","PPPPER:Per capita, current prices, current PPPs","AUT:Austria","2013","USD:US Dollar","0:Units",,731.712,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP5:Retailers and other providers of medical goods","PPPPER:Per capita, current prices, current PPPs","AUT:Austria","2014","USD:US Dollar","0:Units",,759.663,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP5:Retailers and other providers of medical goods","PPPPER:Per capita, current prices, current PPPs","AUT:Austria","2015","USD:US Dollar","0:Units",,783.178,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP5:Retailers and other providers of medical goods","PPPPER:Per capita, current prices, current PPPs","AUT:Austria","2016","USD:US Dollar","0:Units",,806.26,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP5:Retailers and other providers of medical goods","PPPPER:Per capita, current prices, current PPPs","AUT:Austria","2017","USD:US Dollar","0:Units",,833.711,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP5:Retailers and other providers of medical goods","PPPPER:Per capita, current prices, current PPPs","AUT:Austria","2018","USD:US Dollar","0:Units",,867.97,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP5:Retailers and other providers of medical goods","PPPPER:Per capita, current prices, current PPPs","AUT:Austria","2019","USD:US Dollar","0:Units",,889.87,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP5:Retailers and other providers of medical goods","PPPPER:Per capita, current prices, current PPPs","BEL:Belgium","2010","USD:US Dollar","0:Units",,561.382,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP5:Retailers and other providers of medical goods","PPPPER:Per capita, current prices, current PPPs","BEL:Belgium","2011","USD:US Dollar","0:Units",,569.771,
"HFTOT:All financing schemes","HCTOT:Current expenditure on health (all functions)","HP5:Retailers and other providers of medical goods","PPPPER:Per capita, current prices, current PPPs","BEL:Belgium","2012","USD:US Dollar","0:Units",,558.538,
